"product_id","product_name","price","stock_quantity","supplier","added_date"
4,"Bluetooth Keyboard",1499,60,"TechGear Ltd.","2023-08-12"
5,"Noise Cancelling Headphones",3499,40,"SoundMax","2023-08-20"
6,"Webcam HD",1199,85,"VisionPro","2023-08-25"
7,"Portable SSD 1TB",5999,30,"DataSafe","2023-09-01"
8,"Ergonomic Chair",8999,15,"UrbanOffice Supplies","2023-09-05"
9,"Monitor 24-inch",10999,25,"DisplayWorld","2023-09-10"
10,"Mechanical Keyboard",2499,45,"TechGear Ltd.","2023-09-15"
11,"Wireless Earbuds",1999,70,"SoundMax","2023-09-20"
12,"Smart LED Desk Lamp",799,90,"BrightLite","2023-09-25"
13,"USB Hub 4-Port",499,110,"PowerTech India","2023-10-01"
14,"Laptop Backpack",1599,55,"UrbanOffice Supplies","2023-10-05"
15,"Gaming Mouse Pad",399,130,"TechGear Ltd.","2023-10-10"
16,"External Hard Drive 2TB",4999,35,"DataSafe","2023-10-15"
17,"Adjustable Monitor Stand",1299,40,"UrbanOffice Supplies","2023-10-20"
18,"Wireless Presenter",699,60,"TechGear Ltd.","2023-10-25"
19,"Smartphone Holder",299,140,"UrbanOffice Supplies","2023-11-01"
20,"Surge Protector",899,80,"PowerTech India","2023-11-05"
21,"Office Desk Organizer",599,100,"UrbanOffice Supplies","2023-11-10"
22,"Bluetooth Speaker",1799,65,"SoundMax","2023-11-15"
23,"USB Flash Drive 64GB",599,120,"DataSafe","2023-11-20"
24,"Laptop Cooling Pad",999,50,"TechGear Ltd.","2023-11-25"
25,"Wireless Router",2499,30,"NetConnect","2023-12-01"
26,"HDMI Cable 2m",299,150,"PowerTech India","2023-12-05"
27,"Desk Mat",499,90,"UrbanOffice Supplies","2023-12-10"
28,"Webcam Cover",199,200,"VisionPro","2023-12-15"
29,"Portable Projector",7999,10,"DisplayWorld","2023-12-20"
30,"Smart Plug",699,80,"PowerTech India","2023-12-25"
31,"Laptop Sleeve 15-inch",899,60,"UrbanOffice Supplies","2024-01-01"
32,"Wireless Charging Pad",1299,70,"PowerTech India","2024-01-05"
33,"Noise Reduction Microphone",1599,40,"SoundMax","2024-01-10"
34,"USB Desk Fan",399,100,"BrightLite","2024-01-15"
35,"Monitor Arm",2499,25,"DisplayWorld","2024-01-20"
36,"Bluetooth Adapter",499,90,"TechGear Ltd.","2024-01-25"
37,"Ergonomic Mouse Pad",299,120,"UrbanOffice Supplies","2024-02-01"
38,"Smart Desk Clock",799,80,"BrightLite","2024-02-05"
39,"USB Extension Cable",199,160,"PowerTech India","2024-02-10"
40,"Laptop Lock",699,70,"DataSafe","2024-02-15"
41,"Wireless Laser Pointer",899,50,"TechGear Ltd.","2024-02-20"
42,"Portable Monitor",6999,15,"DisplayWorld","2024-02-25"
43,"Cable Organizer",299,140,"UrbanOffice Supplies","2024-03-01"
44,"Desktop Whiteboard",599,60,"UrbanOffice Supplies","2024-03-05"
45,"Rechargeable Batteries",499,100,"PowerTech India","2024-03-10"
46,"USB-C Docking Station",3499,20,"TechGear Ltd.","2024-03-15"
47,"Laptop Stand Adjustable",1399,35,"UrbanOffice Supplies","2024-03-20"
48,"Wireless Network Adapter",999,80,"NetConnect","2024-03-25"
49,"Smart Table Lamp",1299,50,"BrightLite","2024-04-01"
50,"Portable Bluetooth Speaker",2199,40,"SoundMax","2024-04-05"